,Feature,REDE_CARD,,,PAGARME_CARD,,,[Provider],,,[Provider],,,[Provider],,,[Provider],,,[Provider],,
,Provider,REDE,,,PAGARME,,,#N/A,,,#N/A,,,#N/A,,,#N/A,,,#N/A,,
,Payment_Method,CARD,,,CARD,,,#N/A,,,#N/A,,,#N/A,,,#N/A,,,#N/A,,
,,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO,INFORMATION,STATUS,ADDITIONAL INFO
,Country,Brazil,"Fully Supported:
- Brazil: Support",,Brazil,"Fully Supported:
- Brazil: Support",,Brazil,,,Brazil,,,Brazil,,,Brazil,,,,,
,Signed contract with provider,TRUE,,,TRUE,,,TRUE,,,FALSE,,,TRUE,,,TRUE,,,FALSE,,
,Already integrated with Yuno?,TRUE,Done,,TRUE,Done,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,
,Experience,SDK Yuno,Not Applicable,,SDK Yuno,Not Applicable,,SDK Yuno,,,VTEX,,,VTEX,,,VTEX,,,,,
,Card Type Accepted,Credit,Not Applicable,,Credit,Not Applicable,,,,,,,,Credit,,,,,,,,
,Verify,TRUE,Implemented,,TRUE,Does not support,Pagarme does not support Card Validation,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Authorize,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,TRUE,,,FALSE,,,FALSE,,
,Capture,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,TRUE,,,FALSE,,,FALSE,,
,Purchase,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,TRUE,,,FALSE,,,TRUE,,,FALSE,,
,Refund,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Cancel,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,TRUE,,,FALSE,,,FALSE,,
,Partial Capture,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,TRUE,,,FALSE,,,FALSE,,
,Partial Refund,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Multiple Captures,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Multiple Refunds,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Checkout,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Redirect,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,External Refunds,FALSE,Not Applicable,,FALSE,Not Applicable,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,
,Conciliations,FALSE,Not Applicable,,FALSE,Not Applicable,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,
,Installments,"Yes, using Yuno's API",Implemented,,"Yes, using Yuno's API",Implemented,,"Yes, using Provider's plan",,,"Yes, using Provider's plan",,,"Yes, merchant manages that",,,No,,,,,
,Chargebacks,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,TRUE,,,FALSE,,,FALSE,,
,Network Tokens,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Recurring payments,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Market Segment,Others,Not Applicable,,Others,Not Applicable,,Healthcare,,,Healthcare,,,Healthcare,,,Healthcare,,,,,
,Processing model,Acquirer,Not Applicable,,Acquirer,Not Applicable,,Aggregator,,,Aggregator,,,Gateway,,,Aggregator,,,,,
,3DS,Yuno,Implemented,,Yuno,Implemented,,No,,,No,,,No,,,No,,,,,
,Split payments,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,FALSE,,
,SubMerchants,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Soft Descriptor,TRUE,Implemented,,TRUE,Implemented,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Customizable expiration time for APMs,FALSE,Not Applicable,,FALSE,Not Applicable,,TRUE,,,TRUE,,,FALSE,,,TRUE,,,FALSE,,
,ApplePay,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,GooglePay,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,ClickToPay,FALSE,Not Applicable,,FALSE,Not Applicable,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
,Expected Go-Live by the Merchant,18/08/2025,Not Applicable,,18/08/2025,Not Applicable,,TBD,,,TBD,,,TBD,,,TBD,,,,,
,Additional requirements,,Not Applicable,,,Not Applicable,,,,,,,,,,,,,,,, 
